id;class_code;class_name;classroom;credits;number_of_sessions;total_number_of_students;start_date;end_date;class_type;delivery_mode;status;notes;description;academic_year;parent_id;created_by;created_date;last_modified_by;last_modified_date
1;tomatillo nor;scare and nerve;mould key;20519;20385;32447;2025-04-24T05:42:14;2025-04-24T12:14:51;Tutorial;Offline;true;pepper even badly;fondly;ew motivate heavily;24518;absent;2025-04-23T19:33:23;knotty divine please;2025-04-24T12:04:18
2;porter;highly successfully meh;before;27825;21810;16656;2025-04-24T04:56:11;2025-04-24T14:14:12;Lecture;Offline;true;down deed;where scope soon;yuck while;18020;kiddingly;2025-04-23T22:41:58;testing;2025-04-24T04:08:03
3;woot;direct;almost;29363;10308;12010;2025-04-23T23:30:49;2025-04-23T17:23:42;Lecture;Offline;false;yearningly despite boring;before;necklace kaleidoscopic failing;1782;meanwhile majestically;2025-04-23T17:58:35;solidly sermon pushy;2025-04-24T06:32:12
4;wherever hmph;even king;hmph;30550;15570;16042;2025-04-24T06:51:20;2025-04-24T09:46:27;Lab;Offline;false;loudly bracelet;huzzah uh-huh compete;gosh;12350;aside;2025-04-24T14:55:39;reborn;2025-04-24T08:47:25
5;lumbering;eek regarding;aware;21787;12144;4359;2025-04-24T14:39:54;2025-04-24T06:25:45;Lecture;Online;true;huzzah;fold bitter drab;graduate;16811;safely;2025-04-23T17:09:48;possible woefully;2025-04-23T20:34:30
6;density aha energetically;make round than;micromanage;11779;23601;9621;2025-04-24T11:42:23;2025-04-24T15:12:47;Lecture;Hybrid;true;question;overcook separately sticky;now;3570;bravely;2025-04-23T19:14:39;weakly siege;2025-04-24T06:00:40
7;hairy that;crushing up snow;subexpression ha abaft;19906;29832;4586;2025-04-23T21:29:10;2025-04-24T10:05:03;Lab;Hybrid;false;interestingly because;splay;once;14717;deceivingly at;2025-04-24T04:52:11;why while obnoxiously;2025-04-23T19:46:00
8;yellow;midst misjudge;to;9432;25674;26779;2025-04-24T00:27:25;2025-04-24T02:51:24;Tutorial;Hybrid;false;through quarrelsomely;except towards;rudely down;31328;cheap overwork;2025-04-23T21:18:18;management exacerbate;2025-04-23T21:35:54
9;sequester blink pfft;ha;given near;4923;10046;6327;2025-04-24T14:31:26;2025-04-24T07:01:02;Tutorial;Hybrid;true;gratefully;at;tabulate concrete;12732;what;2025-04-24T15:41:59;ack;2025-04-24T11:59:13
10;um platypus;geez oof;aha strictly unless;18661;32255;13768;2025-04-23T19:37:32;2025-04-24T09:07:28;Tutorial;Offline;false;whereas shudder violently;ugh;wee;18189;excitedly and humble;2025-04-24T01:07:11;ack tenderly but;2025-04-24T10:40:46
