id;conduct_scores_code;academic_year;score;classification;evaluation;created_by;created_date;last_modified_by;last_modified_date
1;clumsy needily;apud by likewise;27002;21744;Fair;amnesty forecast;2025-04-24T17:14:09;anenst;2025-04-23T21:07:54
2;hence;upliftingly separate;17637;11516;Average;than really;2025-04-24T04:23:01;toward;2025-04-24T07:31:23
3;astride well;quizzically yahoo definite;28611;31521;Poor;oddly;2025-04-24T05:31:29;if along expostulate;2025-04-24T17:04:46
4;psst yippee via;up;32401;25416;Average;concerning someplace westernize;2025-04-24T12:39:27;ack;2025-04-24T08:44:19
5;educated;amidst;21613;6805;Fair;shabby rubbery;2025-04-24T12:23:53;athwart;2025-04-23T21:44:08
6;gosh;quarterly shabby;331;23757;Average;consequently along regarding;2025-04-24T15:12:43;upright doubtfully pish;2025-04-24T07:17:10
7;twist thorough;hoick;20808;2841;Poor;delightfully nasalise helpfully;2025-04-24T15:25:51;smoke skyline;2025-04-23T22:15:17
8;equally thyme;suddenly;19747;20973;Good;attest;2025-04-24T07:17:06;unbalance;2025-04-23T22:28:02
9;cardboard;viciously vice thorn;26265;20288;Good;proliferate;2025-04-24T14:23:40;pfft huff;2025-04-24T09:28:26
10;including riser;gad opposite;31802;23628;Average;severe meh;2025-04-24T05:36:14;during minus;2025-04-24T16:30:31
