id;course_code;course_title;credits;lecture;tutorial_discussion;practical;laboratory;self_study;number_of_sessions;course_type;notes;status;semester;created_by;created_date;last_modified_by;last_modified_date
1;atrium supposing;ha outfox nor;2025-04-24T01:27:06;22248;7284;15147;29886;17854;26692;Elective;luck;true;now whenever;generally dramatic;2025-04-23T19:45:28;inasmuch athwart;2025-04-24T03:15:33
2;handover;even obedience;2025-04-23T23:24:32;19869;6042;28564;6096;22581;21143;Mandatory;throughout gah pleased;true;aha;abseil knife irk;2025-04-24T04:35:42;beneath sorrowful almost;2025-04-24T07:44:09
3;wiggly exterior;weighty atop all;2025-04-24T00:39:45;222;7906;20517;19643;27941;9545;Mandatory;hmph;true;lazily;aw;2025-04-23T19:21:58;lest nor;2025-04-24T11:46:03
4;sustenance;courageously;2025-04-24T10:31:24;25294;6917;2067;16322;30189;15270;Elective;meh unibody;false;couch very boo;babushka exterior;2025-04-24T07:36:49;address hence giggle;2025-04-24T03:55:33
5;proper wicked apud;greedily since hubris;2025-04-24T11:46:25;10747;4755;11729;347;5109;13168;Elective;idealistic;false;ouch refute;till;2025-04-23T17:47:08;yet uh-huh slushy;2025-04-24T13:06:34
6;curiously anti towards;milestone colorless;2025-04-24T09:32:32;16265;25017;16747;29152;1306;11960;Elective;concerning uselessly at;true;lest;pessimistic;2025-04-24T08:27:10;curl apud amidst;2025-04-24T01:33:17
7;failing;um yuck;2025-04-23T19:52:39;414;16800;26842;17114;28146;6896;Mandatory;kindly warmly beside;false;transparency if;daintily;2025-04-24T08:46:43;oxidise;2025-04-24T03:52:56
8;converse enlist;euphonium;2025-04-24T10:56:54;3831;4181;19160;24222;6933;13568;Elective;across through;true;longingly;around;2025-04-24T07:45:24;loudly how tightly;2025-04-24T11:34:00
9;um known oh;beneath;2025-04-23T16:41:23;4389;10190;21164;14747;22594;7573;Mandatory;gee throbbing;false;understanding;courageously posh deduct;2025-04-24T13:20:46;welcome repeat yawningly;2025-04-24T15:18:17
10;cultivated;since memorise amongst;2025-04-24T11:28:45;9883;32189;14031;27239;30415;18980;Elective;key;false;upwardly oddly these;sometimes jubilantly inveigle;2025-04-24T15:09:18;cleverly with;2025-04-24T13:36:50
