id;grades_code;credit;study_attempt;exam_attempt;process_score;exam_score;score_10;score_4;letter_grade;evaluation;notes;status;created_by;created_date;last_modified_by;last_modified_date
1;upon more;5871;8794;18551;28490.59;7813.16;29767.9;7833.61;CPlus;Retake;quicker quickly dandelion;true;round exotic per;2025-04-24T11:08:47;boohoo;2025-04-23T22:04:41
2;microchip as uh-huh;14641;31136;32201;27694.22;29354.33;16260.67;25112.16;F;Deferment;outside outdo;false;towards boo punctually;2025-04-24T03:21:39;amidst stiff solemnly;2025-04-23T19:43:08
3;among;13492;3192;1585;1524.34;17905.68;4402.38;12543.88;CPlus;Deferment;indolent inexperienced unlike;true;stark;2025-04-24T10:30:02;median circa;2025-04-24T02:54:11
4;for scratch;31827;8872;13414;29156.24;1777.79;13483.02;22748.25;CPlus;Retake;limp schedule how;true;reach drat;2025-04-24T14:48:20;apparatus knit giant;2025-04-23T20:40:19
5;likewise and buzzing;3753;26447;27402;17115.51;23003.89;9895.82;20662.29;DPlus;Retake;what;true;lonely ew;2025-04-23T19:13:33;disinherit repeat;2025-04-24T02:12:44
6;troubled knottily amidst;22362;15337;28000;28390.02;8285.9;29678.22;9695.2;CPlus;Pass;measly;true;trek rawhide out;2025-04-24T00:11:26;mid;2025-04-24T16:46:19
7;whoa lazily;29145;5235;25711;21045.64;11353.05;13258.97;28156.31;FPlus;Pass;explode endow;false;alongside place;2025-04-23T19:35:29;couch;2025-04-23T18:57:38
8;phew toothpick geez;27016;6101;12403;14774.36;21029.09;12817.86;7920.33;FPlus;Pass;mutate;true;wallaby;2025-04-24T01:50:54;nor;2025-04-24T02:25:08
9;sometimes loftily polarisation;13945;6596;16847;13463.33;30333.33;23681.11;2481.57;A;Retake;reiterate homely;false;ack ugh;2025-04-24T08:03:30;order;2025-04-24T12:09:46
10;even ecstatic;23692;14503;20054;25612;25519.51;28403.63;7444.3;APlus;Retake;that impractical;true;enraged justly;2025-04-24T14:41:25;how hurtful;2025-04-23T21:47:17
