id;statistics_code;academic_year;type;notes;status;created_by;created_date;last_modified_by;last_modified_date
1;which;down;Warning;substantiate psst;false;ha blacken pliers;2025-04-23T19:39:53;which separately provider;2025-04-24T02:19:11
2;poppy hopelessly;tall reckless via;Scholarship;measly abandoned inwardly;true;unbearably;2025-04-24T07:57:20;notarize gee triumphantly;2025-04-24T02:48:11
3;lest furthermore;aboard inside;Graduation;marathon famously;true;if epic offset;2025-04-24T03:56:04;wearily;2025-04-24T05:53:32
4;vastly although;of whether whitewash;Warning;alongside;true;equally because;2025-04-23T20:01:59;yahoo stranger which;2025-04-24T02:56:56
5;however;heavy;Graduation;uh-huh brr stool;false;likewise hospitalization;2025-04-23T19:40:04;conservative advanced;2025-04-24T02:40:30
6;eek lava waltz;boo usefully;Warning;poor;false;soup;2025-04-23T19:21:41;openly;2025-04-23T22:33:28
7;fearless;put;Scholarship;supposing hyena;true;rise yellow why;2025-04-24T06:16:53;truly;2025-04-23T21:57:08
8;besides dwell consequently;indeed expostulate infinite;Scholarship;tune-up what among;true;honestly tabulate;2025-04-23T18:11:27;oof;2025-04-24T08:31:18
9;quaintly furthermore save;firm;Scholarship;suitcase;true;scorn magnificent;2025-04-24T13:48:40;ceramics pocket-watch;2025-04-24T08:42:54
10;woot although;via merrily;Warning;thankfully;false;unlike sundae;2025-04-24T10:46:56;whenever at mid;2025-04-24T02:25:09
