id;code;total_scholarship;graduation_date;score;notes;status;created_by;created_date;last_modified_by;last_modified_date
1;measly about ha;27441.47;2025-04-23T21:32:11;30245.15;a about raw;false;when since obesity;2025-04-23T18:22:24;smoggy qua clonk;2025-04-24T14:19:58
2;lack dish jam-packed;17046.48;2025-04-24T07:45:44;7521.5;communicate ill-fated;true;disconnection under till;2025-04-23T18:59:22;near;2025-04-24T06:31:37
3;minion pish;18111.75;2025-04-24T03:52:51;2634.79;factorise litter huzzah;true;when huzzah uh-huh;2025-04-24T03:36:30;insert vein pick;2025-04-24T11:01:33
4;boiling;27273.46;2025-04-24T08:38:28;11563.5;likewise;false;supposing optimal yahoo;2025-04-24T13:48:57;emotional comestible unlike;2025-04-23T21:19:56
5;excepting ew;26745.55;2025-04-24T13:29:21;18000.51;vainly step last;false;plump;2025-04-24T10:44:20;failing uh-huh provided;2025-04-23T23:25:33
6;when though;2464.84;2025-04-24T00:42:56;24593.26;forgery;false;delectable;2025-04-24T15:03:20;bootleg if sweetly;2025-04-24T14:47:35
7;unless retrospectivity;16818.22;2025-04-23T22:06:23;123.63;less likewise nor;true;frenetically molasses;2025-04-23T20:43:15;famously defendant sand;2025-04-24T07:02:14
8;towards physically;19928.47;2025-04-24T00:06:02;29106.99;hm that near;true;repentant incidentally;2025-04-24T08:22:27;dense but;2025-04-24T04:39:38
9;messy coincide mousse;22421.99;2025-04-24T14:43:54;17927.34;cap unsteady;false;homely;2025-04-24T02:17:08;know;2025-04-24T14:17:47
10;since pfft intensely;3750.85;2025-04-23T21:44:11;31197.94;worth plus;true;youthfully;2025-04-24T16:50:24;about downright;2025-04-24T06:49:07
